make,model,trim,count
Oldsmobile,Achieva,Coupe,3
Oldsmobile,Alero,GL1,53
Oldsmobile,Aurora,Base,15
Oldsmobile,Bravada,Base,45
Oldsmobile,Ciera,SEDAN,2
Oldsmobile,Coupe,Base,1
Oldsmobile,Coupe,Custom,1
Oldsmobile,Coupe,Trofeo,1
Oldsmobile,Custom Cruiser,Base,1
Oldsmobile,Custom Cruiser,Custom,1
Oldsmobile,Cutlass,Coupe,5
Oldsmobile,Cutlass,GLS,5
Oldsmobile,Cutlass Calais,Base,1
Oldsmobile,Cutlass Supreme,CONVERTIBLE,8
Oldsmobile,Intrigue,GX,14
Oldsmobile,LS,LS,1
Oldsmobile,LS,SEDAN,1
Oldsmobile,LSS,Base,1
Oldsmobile,LSS,LS,1
Oldsmobile,Lancer,SEDAN,1
Oldsmobile,Ninety Eight,Regency Brougham,1
Oldsmobile,Regency,SEDAN,6
Oldsmobile,Royale,Brougham Sedan,1
Oldsmobile,Silhouette,GL,24
Oldsmobile,Toronado,Brougham,1
Peugeot,505,S,1
Peugeot,505,S Turbo,1
Plymouth,Acclaim,Base,1
Plymouth,Breeze,Base,5
Plymouth,Caravan,SE,1
Plymouth,Colt,Base,1
Plymouth,Coupe,Base,1
Plymouth,Grand Voyager,SE,10
Plymouth,Neon,HIGHLINE,13
Plymouth,Prowler,Base,112
Plymouth,Voyager,Base,2
Plymouth,Voyager,SE,2
Pontiac,300,Trans Am,1
Pontiac,Aztek,FWD,24
Pontiac,Bonneville,SE,68
Pontiac,Convertible,Formula,7
Pontiac,Coupe,Trans Am,5
Pontiac,Fiero,GT,4
Pontiac,Firebird,Trans Am,124
Pontiac,G3,Base,20
Pontiac,G5,Base,105
Pontiac,G6,GT,408
Pontiac,G8,GT,92
Pontiac,GT,GT,13
Pontiac,GTO,Base,192
Pontiac,Grand Am,SE1,67
Pontiac,Grand Prix,GP,317
Pontiac,Montana,Base,73
Pontiac,Montana SV6,Base,20
Pontiac,Parisienne,Brougham,1
Pontiac,Safari,Base,1
Pontiac,Safari,WAGON,1
Pontiac,Solstice,Base,393
Pontiac,Sunbird,LE,1
Pontiac,Sunbird,SE,1
Pontiac,Sunfire,Base,23
Pontiac,Torrent,Base,177
Pontiac,Trans Am,Coupe,3
Pontiac,Trans Am,GTA Coupe,3
Pontiac,Trans Sport,SE,5
Pontiac,Vibe,Base,297
Porsche,300,Base,1
Porsche,500,Special Edition,1
Porsche,718,Base,456
Porsche,900,Speed,1
Porsche,911,Carrera,1146
Porsche,911 Carrera,911 Carrera,1
Porsche,918,Spyder,5
Porsche,924,S,2
Porsche,928,S,2
Porsche,944,Base,4
Porsche,964,964,1
Porsche,968,Cabriolet,2
Porsche,968,Coupe,2
Porsche,Boxster,Base,788
Porsche,Cabriolet,Carrera,18
Porsche,Carrera GT,Base,15
Porsche,Cayenne,Base,1253
Porsche,Cayenne Coup,Base,37
Porsche,Cayenne Coup?,Base,1
Porsche,Cayenne Coupe,Base,10
Porsche,Cayenne Coupé,Base,33
Porsche,Cayman,S,287
Porsche,Convertible,Carrera,17
Porsche,Coupe,Carrera,17
Porsche,Macan,Base,1624
Porsche,Panamera,Base,896
Porsche,Roadster,5,1
Porsche,Roadster,Carrera 2 Cabriolet,1
Porsche,S4,HATCHBACK,2
Porsche,S4,S4,2
Porsche,Taycan,4S,185
Porsche,Tribute,GT2,1
Porsche,Turbo,Turbo,9
RAM,5 Series,2,1
RAM,5500,Laramie,1
RAM,5500,ST,1
RAM,Classic,SLT,265
RAM,Dakota,Big Horn (Lone Star),147
RAM,Express,4,1
RAM,Express,Tradesman,1
RAM,ProMaster Cab Chassis,Base,8
RAM,ProMaster Cargo Van,Base,2950
RAM,ProMaster Cutaway,Base,43
RAM,ProMaster Window Van,Base,38
RAM,Promaster City,Tradesman,605
RAM,Ram,Tradesman,1
RAM,Ram 1500 Classic,Tradesman,1805
RAM,Ram 1500 Pickup,Big Horn/Lone Star,14105
RAM,Ram 2500 Pickup,Laramie,4892
RAM,Ram 3500 Cab Chassis,Laramie,1
RAM,Ram 3500 Cab Chassis,Tradesman,1
RAM,Ram 3500 Chassis Cab,Tradesman,527
RAM,Ram 3500 Pickup,Tradesman,1908
RAM,Ram 4500 Cab Chassis,Tradesman,1
RAM,Ram 4500 Chassis Cab,Tradesman,74
RAM,Ram 5500 Chassis Cab,Tradesman,126
RAM,Ram Cargo Van,Base,80
RAM,Ram Pickup,CLASSIC,9
RAM,Ram Pickup,SSV,9
RAM,Sierra 2500HD,Crew,1
RAM,Truck,Tradesman,42
RAM,Turbo,Tradesman,2
Rolls-Royce,Convertible,Base,1
Rolls-Royce,Convertible,II,1
Rolls-Royce,Corniche,Base,7
Rolls-Royce,Cullinan,Base,120
Rolls-Royce,Dawn,Base,124
Rolls-Royce,Flying Spur,Base,1
Rolls-Royce,Ghost,Base,260
Rolls-Royce,Park Ward,Mulliner,1
Rolls-Royce,Park Ward,SERIES II,1
Rolls-Royce,Phantom,Base,88
Rolls-Royce,Silver Seraph,Base,9
Rolls-Royce,Silver Spirit,Base,1
Rolls-Royce,Silver Spur,Base,11
Rolls-Royce,Wraith,Base,130
Saab,9-2X,Aero,6
Saab,9-2X,Linear,6
Saab,9-3,2.0T,132
Saab,9-3X,SportCombi,3
Saab,9-4X,Aero,3
Saab,9-4X,Premium,3
Saab,9-5,Base,24
Saab,9-7X,4.2i,37
Saab,900,S,11
Saab,900,Turbo,11
Saab,9000,Aero,2
Saab,9000,CS,2
Saab,9000,CSE,2
Saab,9000,CSE TURBO,2
Saab,Convertible,S,2
Saab,Convertible,Turbo,2
Saturn,Astra,XR,29
Saturn,Aura,XE,212
Saturn,ION,2,218
Saturn,L-Series,L200,35
Saturn,L300,2,8
Saturn,Outlook,XR,124
Saturn,Relay,.3,11
Saturn,S-Series,Base,54
Saturn,SC,Base,1
Saturn,Sky,Roadster,174
Saturn,VUE,Base,242
Scion,FR-S,Base,607
Scion,iA,Base,238
Scion,iM,Base,223
Scion,iQ,Base,107
Scion,tC,Base,1118
Scion,xA,Base,122
Scion,xB,Base,820
Scion,xD,Base,259
Subaru,900,Speed,1
Subaru,Ascent,Limited,1787
Subaru,B9 Tribeca,Limited,22
Subaru,BRZ,Limited,672
Subaru,Baja,Sport,50
Subaru,Coupe,LS,1
Subaru,Coupe,LSI,1
Subaru,Coupe,XT,1
Subaru,Crosstrek,Premium,4324
Subaru,DL Wagon,AWD,1
Subaru,Forester,Premium,3589
Subaru,GL Wagon,4WD,1
Subaru,GL Wagon,GL,1
Subaru,GL Wagon,Gl-10 Turbo 4WD,1
Subaru,GL Wagon,Gl10,1
Subaru,Impreza,Base,1705
Subaru,Justy,GL,3
Subaru,L-Line,GL,1
Subaru,L-Line,GL AWD,1
Subaru,Legacy,Premium,1070
Subaru,Loyale,Base,4
Subaru,Outback,Limited,5791
Subaru,SVX,L,2
Subaru,Tribeca,Limited,107
Subaru,Turbo,Turbo,1
Subaru,WRX,Premium,1108
Subaru,WRX STI,Base,814
Subaru,XT6,XT6 Turbo 4WD,1
Subaru,XV Crosstrek,Premium,899
Suzuki,400,400,1
Suzuki,500,500,1
Suzuki,AN400,AN400,1
Suzuki,Aerio,SX,13
Suzuki,CT,GSX,1
Suzuki,Equator,Sport,15
Suzuki,Esteem,GL,2
Suzuki,Forenza,Base,35
Suzuki,Forenza Wagon,Base,3
Suzuki,Forenza Wagon,S,3
Suzuki,GSX-R600L1,GSX-R600L1,6
Suzuki,GSX-R750L1,GSX-R750L1,4
Suzuki,Grand Vitara,Base,29
Suzuki,Gsx,GSX,1
Suzuki,Highlander,LIMITED AWD,1
Suzuki,Kizashi,SE,21
Suzuki,Reno,Base,15
Suzuki,SX4,Base,6
Suzuki,SX4 Crossover,Base,48
Suzuki,SX4 Sedan,LE,16
Suzuki,SX4 Sport,Sport,16
Suzuki,Sidekick,SPORT JLX,2
Suzuki,Swift,Base,1
Suzuki,Truck,Custom,1
Suzuki,VL1500,VL1500,1
Suzuki,VL800,VL800,6
Suzuki,VLR1800,VLR1800,1
Suzuki,VZ800,VZ800,1
Suzuki,Verona,LX,3
Suzuki,Vitara,Base,6
Suzuki,X-90,Base,1
Suzuki,XL-7,EX,9
Suzuki,XL7,Luxury,38
Tesla,Model 3,Base,3203
Tesla,Model S,S,600
Tesla,Model X,75D,243
Tesla,Model Y,Base,1509
Tesla,Roadster,Base,5
Toyota,4Runner,SR5,6226
Toyota,86,Base,246
Toyota,Avalon,Limited,1538
Toyota,C-HR,XLE,1795
Toyota,Camry,SE,14256
Toyota,Camry Solara,SE,355
Toyota,Celica,GT,64
Toyota,Classic,CLASSIC,2
Toyota,Convertible,GT,4
Toyota,Corolla,LE,16294
Toyota,Corolla Cross,LE,19
Toyota,Corolla Hatchback,SE,852
Toyota,Corolla iM,Base,582
Toyota,Coupe,Base,1
Toyota,Coupe,Sunroof,1
Toyota,Coupe,T,1
Toyota,Coupe,Turbo,1
Toyota,Cressida,Luxury,2
Toyota,Echo,Base,41
Toyota,FJ Cruiser,Base,1661
Toyota,GR86,Premium,12
Toyota,Highlander,XLE,9513
Toyota,Land Cruiser,Base,468
Toyota,MR2 Spyder,Base,130
Toyota,Matrix,Base,239
Toyota,Mirai,Mirai,104
Toyota,Park Avenue,SEDAN,1
Toyota,Paseo,1,1
Toyota,Paseo,Base,1
Toyota,Paseo,Coupe,1
Toyota,Pickup,Base,1
Toyota,Pickup,Deluxe,1
Toyota,Pickup,SR5 V6,1
Toyota,Previa,LE,3
Toyota,Prius,Two,1199
Toyota,Prius C,LE,4
Toyota,Prius Plug-In,Base,115
Toyota,Prius Prime,Premium,304
Toyota,Prius c,Two,208
Toyota,Prius v,Three,203
Toyota,RAV4,XLE,11536
Toyota,RAV4 Prime,SE,8
Toyota,Rav4,Base,145
Toyota,Sequoia,SR5,1077
Toyota,Sienna,LE,4123
Toyota,Supra,Premium,410
Toyota,T100,SR5,14
Toyota,Tacoma,SR5,7015
Toyota,Tercel,Coupe,3
Toyota,Tercel,SEDAN,3
Toyota,Truck,SR5,5
Toyota,Tundra,SR5,10495
Toyota,Venza,Base,608
Toyota,Yaris,LE,472
Toyota,Yaris iA,Base,589
Volkswagen,Arteon,SE,116
Volkswagen,Atlas,SE w/Tech,1975
Volkswagen,Atlas Cross Sport,SE w/Tech,420
Volkswagen,Beetle,2.5,503
Volkswagen,CC,Sport,567
Volkswagen,Cabrio,GLS,10
Volkswagen,Cabriolet,Base,1
Volkswagen,Convertible,Base,1
Volkswagen,Coupe,Base,1
Volkswagen,Eos,Komfort,322
Volkswagen,Eurovan,MV,30
Volkswagen,Fox,2-Door,2
Volkswagen,GLI,Base,7
Volkswagen,GTI,GTI,278
Volkswagen,Golf,S,259
Volkswagen,Golf Alltrack,Alltrack SE,199
Volkswagen,Golf GTI,S,874
Volkswagen,Golf R,R,492
Volkswagen,Golf SportWagen,S,142
Volkswagen,ID.4,PRO S,119
Volkswagen,Jetta,S,5709
Volkswagen,Jetta SportWagen,TDI,375
Volkswagen,New Beetle,GLS,30
Volkswagen,New GTI,2.0T FSI,15
Volkswagen,New Jetta,2.5,26
Volkswagen,Passat,SE,3211
Volkswagen,Phaeton,V8,17
Volkswagen,Quantum,4WD,1
Volkswagen,R32,R32,58
Volkswagen,Rabbit,S,108
Volkswagen,Routan,SE,188
Volkswagen,Taos,SE,120
Volkswagen,Tiguan,SE,5090
Volkswagen,Tiguan Limited,Base,245
Volkswagen,Touareg,Sport,204
Volkswagen,Touareg 2,VR6,39
Volkswagen,Vanagon,VAN,1
Volkswagen,e-Golf,e-Golf SE,267
Volvo,240,DL,7
Volvo,240 Wagon,DL,1
Volvo,240 Wagon,GL,1
Volvo,240 Wagon,SE,1
Volvo,245,GLT,2
Volvo,500,Speed,1
Volvo,740,Base,2
Volvo,740,GLE,2
Volvo,760,Base,1
Volvo,760 Wagon,Turbo,1
Volvo,850,GLT,7
Volvo,940,Base,1
Volvo,940,Level I,1
Volvo,940,Level II,1
Volvo,940,SE,1
Volvo,960,Base,1
Volvo,960,WAGON,1
Volvo,C30,T5,102
Volvo,C70,T5,279
Volvo,Coupe,Turbo,1
Volvo,GLS,SEDAN,1
Volvo,New S40,Base,12
Volvo,S40,2.4i,210
Volvo,S60,Momentum,943
Volvo,S70,GLT,11
Volvo,S80,3.2,125
Volvo,S90,Momentum,514
Volvo,Truck,Speed,3
Volvo,Turbo,Turbo,6
Volvo,V40,LSE A SR,4
Volvo,V50,2.4i,53
Volvo,V60,Premier,102
Volvo,V60 Cross Country,Base,170
Volvo,V70,3.2,37
Volvo,V70 XC,2.4T,23
Volvo,V90,R-Design,26
Volvo,V90 Cross Country,Base,200
Volvo,XC40,Momentum,547
Volvo,XC60,Momentum,1803
Volvo,XC70,3.2,152
Volvo,XC90,Momentum,2411
smart,Fortwo,Base,2
smart,fortwo,passion,376
